Pytanie|label|Odpowiedź
Kto pomaga z chat botem ? |Administrator bota|emplocity
Kto jest Twoim administartorem ?|Administrator bota|emplocity
Kto obsługuje tego bota ?|Administrator bota|emplocity
Kto Ciebie zatrudnia ?|Administrator bota|emplocity
Kto administruje chata ?|Administrator bota|emplocity
Nie odpowiadasz prawidłowo na pytania, do kogo to zgłosić ?|Administrator bota|emplocity
Jak aplikować? |Aplikować w rekrutacji wewnętrznej|Poprzez przycisk Aplikuj umieszczony w ogłoszeniu o pracę. Zostaniesz poproszony o załączenie CV.
Gdzie mogę złożyć swoje CV?|Aplikować w rekrutacji wewnętrznej|Poprzez przycisk Aplikuj umieszczony w ogłoszeniu o pracę. Zostaniesz poproszony o załączenie CV.
Jak aplikować na rekrutację wewnętrzną?|Aplikować w rekrutacji wewnętrznej|Poprzez przycisk Aplikuj umieszczony w ogłoszeniu o pracę. Zostaniesz poproszony o załączenie CV.
Jak aplikować na pozycję wewnętrzną?|Aplikować w rekrutacji wewnętrznej|Poprzez przycisk Aplikuj umieszczony w ogłoszeniu o pracę. Zostaniesz poproszony o załączenie CV.
Jak mogę się rekrutować?|Aplikować w rekrutacji wewnętrznej|Poprzez przycisk Aplikuj umieszczony w ogłoszeniu o pracę. Zostaniesz poproszony o załączenie CV.
Gdzie mogę wysłać CV?|Aplikować w rekrutacji wewnętrznej|Poprzez przycisk Aplikuj umieszczony w ogłoszeniu o pracę. Zostaniesz poproszony o załączenie CV.
Jak mogę wysłać CV?|Aplikować w rekrutacji wewnętrznej|Poprzez przycisk Aplikuj umieszczony w ogłoszeniu o pracę. Zostaniesz poproszony o załączenie CV.
Co zrobić żeby aplikować na inne stanowisko?|Aplikować w rekrutacji wewnętrznej|Poprzez przycisk Aplikuj umieszczony w ogłoszeniu o pracę. Zostaniesz poproszony o załączenie CV.
Gdzie mogę aplikować?|Aplikować w rekrutacji wewnętrznej|Poprzez przycisk Aplikuj umieszczony w ogłoszeniu o pracę. Zostaniesz poproszony o załączenie CV.
Komu wysłać życiorys w celach rekrutacyjnych?|Aplikować w rekrutacji wewnętrznej|Poprzez przycisk Aplikuj umieszczony w ogłoszeniu o pracę. Zostaniesz poproszony o załączenie CV.
Jakie mamy benefity w firmie?|Benefity dla pracowników|Mamy w firmie opiekę medyczną i multisport
Wykaz benefitów w firmie.|Benefity dla pracowników|Mamy w firmie opiekę medyczną i multisport
Jakie mamy benefity?|Benefity dla pracowników|Mamy w firmie opiekę medyczną i multisport
Jakie są benefity w firmie?|Benefity dla pracowników|Mamy w firmie opiekę medyczną i multisport
czy mamy prywatną opiekę medyczną?|Benefity dla pracowników|Mamy w firmie opiekę medyczną i multisport
czy w firmie mamy karty multisport?|Benefity dla pracowników|Mamy w firmie opiekę medyczną i multisport
benefity w firmie|Benefity dla pracowników|Mamy w firmie opiekę medyczną i multisport
Czy wymiar urlopu ojcowskiego w przypadku urodzenia się bliźniaków będzie wyższy?|bliźniaki ojcowski|Wymiar urlopu ojcowskiego wynosi 2 tygodnie, niezależnie od liczby urodzonych dzieci przy jednym porodzie, czyli w przypadku urodzenia się bliźniaków ojcu dziecka będzie przysługiwał okres 14 dniu kalendarzowych.
Ile należy się ojcowskiego na bliźnięta?|bliźniaki ojcowski|Wymiar urlopu ojcowskiego wynosi 2 tygodnie, niezależnie od liczby urodzonych dzieci przy jednym porodzie, czyli w przypadku urodzenia się bliźniaków ojcu dziecka będzie przysługiwał okres 14 dniu kalendarzowych.
urodziły mi się bliźniaki, czy mój urlop ojcowski będzie wyższy?|bliźniaki ojcowski|Wymiar urlopu ojcowskiego wynosi 2 tygodnie, niezależnie od liczby urodzonych dzieci przy jednym porodzie, czyli w przypadku urodzenia się bliźniaków ojcu dziecka będzie przysługiwał okres 14 dniu kalendarzowych.
jestem ojcem bliźniaków, jaki przysługuje mi urlop ojcowski?|bliźniaki ojcowski|Wymiar urlopu ojcowskiego wynosi 2 tygodnie, niezależnie od liczby urodzonych dzieci przy jednym porodzie, czyli w przypadku urodzenia się bliźniaków ojcu dziecka będzie przysługiwał okres 14 dniu kalendarzowych.
Dla kogo pracujesz ?|Bot|Dla Ciebie :)
Dla kogo zostałeś stworzony?|Bot|Dla Ciebie :)
Dlaczego nie mam zapłacone za L-4|Brak zapłaty za zwolnienie lekarskie|Lekarz mógł nie wystawić zwolnienia elektronicznego w PUE lub wystawić je błędnie. Jeżeli była to opieka nad dzieckiem lub chorym członkiem rodziny to brak druku z-15a lu z-15b
Brak zapłaty za zwolnienie lekarskie|Brak zapłaty za zwolnienie lekarskie|Lekarz mógł nie wystawić zwolnienia elektronicznego w PUE lub wystawić je błędnie. Jeżeli była to opieka nad dzieckiem lub chorym członkiem rodziny to brak druku z-15a lu z-15b
Moja żona jest chora. Co teraz?|chora rodzina|Zapytaj o zwolnienie lekarskie na członka rodziny, zapytaj o druk z-15b
Żona zachorowała. Co mogę zrobić?|chora rodzina|Zapytaj o zwolnienie lekarskie na członka rodziny, zapytaj o druk z-15b
Moja mama jest chora. Co teraz?|chora rodzina|Zapytaj o zwolnienie lekarskie na członka rodziny, zapytaj o druk z-15b
Mama zachorowała. Co mogę zrobić?|chora rodzina|Zapytaj o zwolnienie lekarskie na członka rodziny, zapytaj o druk z-15b
Mój mąż jest chory. Co teraz?|chora rodzina|Zapytaj o zwolnienie lekarskie na członka rodziny, zapytaj o druk z-15b
Mąż zachorował. Co mogę zrobić?|chora rodzina|Zapytaj o zwolnienie lekarskie na członka rodziny, zapytaj o druk z-15b
Mam chore dziecko. Co mam zrobić?|chore dziecko|Zapytaj o zwolnienie lekarskie na dziecko, zapytaj o druk z-15.
zwolnienie na chore dziecko|chore dziecko|Zapytaj o zwolnienie lekarskie na dziecko, zapytaj o druk z-15.
Zachorowało mi dziecko. Co teraz?|chore dziecko|Zapytaj o zwolnienie lekarskie na dziecko, zapytaj o druk z-15.
mam chore dziecko|chore dziecko|Zapytaj o zwolnienie lekarskie na dziecko, zapytaj o druk z-15.
Mój syn jest chory. Co teraz?|chore dziecko|Zapytaj o zwolnienie lekarskie na dziecko, zapytaj o druk z-15.
moje dziecko zachorowało|chore dziecko|Zapytaj o zwolnienie lekarskie na dziecko, zapytaj o druk z-15.
Chory syn|chore dziecko|Zapytaj o zwolnienie lekarskie na dziecko, zapytaj o druk z-15.
Chora córka|chore dziecko|Zapytaj o zwolnienie lekarskie na dziecko, zapytaj o druk z-15.
Chore dziecko|chore dziecko|Zapytaj o zwolnienie lekarskie na dziecko, zapytaj o druk z-15.
Moja córka jest chora. Co teraz?|chore dziecko|Zapytaj o zwolnienie lekarskie na dziecko, zapytaj o druk z-15.
mam taką sytuację, że chcę wziąć zwolnienie na opiekę nad moim synem i czy w związku z tym muszę dostarczyć zaświadczenie, że mój mąż nie korzysta z takiego zwolnienia?|chore dziecko|Zapytaj o zwolnienie lekarskie na dziecko, zapytaj o druk z-15.
co mam zrobić jak dziecko choruje|chore dziecko|Zapytaj o zwolnienie lekarskie na dziecko, zapytaj o druk z-15.
Co zrobić jak dziecko jest chore?|chore dziecko|Zapytaj o zwolnienie lekarskie na dziecko, zapytaj o druk z-15.
Co w przypadku kiedy na urlopie zachoruje mi dziecko i otrzymam zwolnienie lekarskie?|Choroba dziecka w czasie urlopu|Jeżeli pracownik korzysta już z urlopu wypoczynkowego, to wtedy choroba dziecka pracownika nie przerywa tego urlopu. Jeśli dziecko pracownika zachoruje, to pracownik opiekuje się chorym dzieckiem w ramach swojego urlopu wypoczynkowego.
Mam urlop i zachorowało mi dziecko? Co powinienem zrobić?|Choroba dziecka w czasie urlopu|Jeżeli pracownik korzysta już z urlopu wypoczynkowego, to wtedy choroba dziecka pracownika nie przerywa tego urlopu. Jeśli dziecko pracownika zachoruje, to pracownik opiekuje się chorym dzieckiem w ramach swojego urlopu wypoczynkowego.
Zachorowało mi dziecko I mam zwolnienie|Choroba dziecka w czasie urlopu|Jeżeli pracownik korzysta już z urlopu wypoczynkowego, to wtedy choroba dziecka pracownika nie przerywa tego urlopu. Jeśli dziecko pracownika zachoruje, to pracownik opiekuje się chorym dzieckiem w ramach swojego urlopu wypoczynkowego.
Dostałam zwolnienie lekarskie na chore dziecko|Choroba dziecka w czasie urlopu|Jeżeli pracownik korzysta już z urlopu wypoczynkowego, to wtedy choroba dziecka pracownika nie przerywa tego urlopu. Jeśli dziecko pracownika zachoruje, to pracownik opiekuje się chorym dzieckiem w ramach swojego urlopu wypoczynkowego.
Otrzymałam zwolnienie lekarskie z powodu chorego dziecka|Choroba dziecka w czasie urlopu|Jeżeli pracownik korzysta już z urlopu wypoczynkowego, to wtedy choroba dziecka pracownika nie przerywa tego urlopu. Jeśli dziecko pracownika zachoruje, to pracownik opiekuje się chorym dzieckiem w ramach swojego urlopu wypoczynkowego.
Otrzymałam zwolnienie lekarskie z powodu choroby dziecka|Choroba dziecka w czasie urlopu|Jeżeli pracownik korzysta już z urlopu wypoczynkowego, to wtedy choroba dziecka pracownika nie przerywa tego urlopu. Jeśli dziecko pracownika zachoruje, to pracownik opiekuje się chorym dzieckiem w ramach swojego urlopu wypoczynkowego.
Otrzymałam zwolnienie lekarskie z powodu chorego syna|Choroba dziecka w czasie urlopu|Jeżeli pracownik korzysta już z urlopu wypoczynkowego, to wtedy choroba dziecka pracownika nie przerywa tego urlopu. Jeśli dziecko pracownika zachoruje, to pracownik opiekuje się chorym dzieckiem w ramach swojego urlopu wypoczynkowego.
Otrzymałam zwolnienie lekarskie z powodu chorej córki|Choroba dziecka w czasie urlopu|Jeżeli pracownik korzysta już z urlopu wypoczynkowego, to wtedy choroba dziecka pracownika nie przerywa tego urlopu. Jeśli dziecko pracownika zachoruje, to pracownik opiekuje się chorym dzieckiem w ramach swojego urlopu wypoczynkowego.
Zachorowała mi córka I mam zwolnienie|Choroba dziecka w czasie urlopu|Jeżeli pracownik korzysta już z urlopu wypoczynkowego, to wtedy choroba dziecka pracownika nie przerywa tego urlopu. Jeśli dziecko pracownika zachoruje, to pracownik opiekuje się chorym dzieckiem w ramach swojego urlopu wypoczynkowego.
Zachorował mi syn I mam zwolnienie|Choroba dziecka w czasie urlopu|Jeżeli pracownik korzysta już z urlopu wypoczynkowego, to wtedy choroba dziecka pracownika nie przerywa tego urlopu. Jeśli dziecko pracownika zachoruje, to pracownik opiekuje się chorym dzieckiem w ramach swojego urlopu wypoczynkowego.
Co w przypadku kiedy przebywam na urlopie i zachoruje? |Choroba w czasie urlopu|Pracodawca musi przesunąć urlop wypoczynkowy pracownikowi, który zachorował w czasie wypoczynku. Okres choroby nie odbiera pracownikowi możliwości wypoczynku. Część urlopu niewykorzystaną z powodu czasowej niezdolności do pracy wskutek choroby pracodawca jest obowiązany udzielić w terminie późniejszym.
Jestem na urlopie, otrzymałem zwolnienie lekarskie. Co mam zrobić?|Choroba w czasie urlopu|Pracodawca musi przesunąć urlop wypoczynkowy pracownikowi, który zachorował w czasie wypoczynku. Okres choroby nie odbiera pracownikowi możliwości wypoczynku. Część urlopu niewykorzystaną z powodu czasowej niezdolności do pracy wskutek choroby pracodawca jest obowiązany udzielić w terminie późniejszym.
Zachorowałam w czasie urlopu|Choroba w czasie urlopu|Pracodawca musi przesunąć urlop wypoczynkowy pracownikowi, który zachorował w czasie wypoczynku. Okres choroby nie odbiera pracownikowi możliwości wypoczynku. Część urlopu niewykorzystaną z powodu czasowej niezdolności do pracy wskutek choroby pracodawca jest obowiązany udzielić w terminie późniejszym.
Zachorowałem w czasie urlopu|Choroba w czasie urlopu|Pracodawca musi przesunąć urlop wypoczynkowy pracownikowi, który zachorował w czasie wypoczynku. Okres choroby nie odbiera pracownikowi możliwości wypoczynku. Część urlopu niewykorzystaną z powodu czasowej niezdolności do pracy wskutek choroby pracodawca jest obowiązany udzielić w terminie późniejszym.
W czasie urlopu zachorowałam|Choroba w czasie urlopu|Pracodawca musi przesunąć urlop wypoczynkowy pracownikowi, który zachorował w czasie wypoczynku. Okres choroby nie odbiera pracownikowi możliwości wypoczynku. Część urlopu niewykorzystaną z powodu czasowej niezdolności do pracy wskutek choroby pracodawca jest obowiązany udzielić w terminie późniejszym.
Jestem na urlopie i zachorowałam|Choroba w czasie urlopu|Pracodawca musi przesunąć urlop wypoczynkowy pracownikowi, który zachorował w czasie wypoczynku. Okres choroby nie odbiera pracownikowi możliwości wypoczynku. Część urlopu niewykorzystaną z powodu czasowej niezdolności do pracy wskutek choroby pracodawca jest obowiązany udzielić w terminie późniejszym.
W trakcie urlopu zachorowałam|Choroba w czasie urlopu|Pracodawca musi przesunąć urlop wypoczynkowy pracownikowi, który zachorował w czasie wypoczynku. Okres choroby nie odbiera pracownikowi możliwości wypoczynku. Część urlopu niewykorzystaną z powodu czasowej niezdolności do pracy wskutek choroby pracodawca jest obowiązany udzielić w terminie późniejszym.
Co teraz czytasz? |co czytasz|Twoje pytania…
Co czytasz?|co czytasz|Twoje pytania…
Co lubisz czytać?|co czytasz|Twoje pytania…
nie pomagasz mi|co umie bot|Nie musisz tracić czasu na poszukiwanie brakujących informacji i przeglądanie firmowych dysków i dokumentów itp. Wystarczy, że zadasz mi pytanie, a ja – bum! – szybko podrzucę Ci odpowiedź. Zyskasz mnóstwo czasu!
co umiesz robić|co umie bot|Nie musisz tracić czasu na poszukiwanie brakujących informacji i przeglądanie firmowych dysków i dokumentów itp. Wystarczy, że zadasz mi pytanie, a ja – bum! – szybko podrzucę Ci odpowiedź. Zyskasz mnóstwo czasu!
co potrafisz robić|co umie bot|Nie musisz tracić czasu na poszukiwanie brakujących informacji i przeglądanie firmowych dysków i dokumentów itp. Wystarczy, że zadasz mi pytanie, a ja – bum! – szybko podrzucę Ci odpowiedź. Zyskasz mnóstwo czasu!
o co mogę zapytać?|co umie bot|Nie musisz tracić czasu na poszukiwanie brakujących informacji i przeglądanie firmowych dysków i dokumentów itp. Wystarczy, że zadasz mi pytanie, a ja – bum! – szybko podrzucę Ci odpowiedź. Zyskasz mnóstwo czasu!
o co moge pytać|co umie bot|Nie musisz tracić czasu na poszukiwanie brakujących informacji i przeglądanie firmowych dysków i dokumentów itp. Wystarczy, że zadasz mi pytanie, a ja – bum! – szybko podrzucę Ci odpowiedź. Zyskasz mnóstwo czasu!
w czym potrafisz mi pomóc|co umie bot|Nie musisz tracić czasu na poszukiwanie brakujących informacji i przeglądanie firmowych dysków i dokumentów itp. Wystarczy, że zadasz mi pytanie, a ja – bum! – szybko podrzucę Ci odpowiedź. Zyskasz mnóstwo czasu!
o co mogę się Ciebie spytać|co umie bot|Nie musisz tracić czasu na poszukiwanie brakujących informacji i przeglądanie firmowych dysków i dokumentów itp. Wystarczy, że zadasz mi pytanie, a ja – bum! – szybko podrzucę Ci odpowiedź. Zyskasz mnóstwo czasu!
Co ile mogę wnioskować o zakup okularów?|częstotliwość refundacja okularów|Uprawnieni pracownicy mogą ubiegać się o refundację kosztów zakupu okularów wyłącznie na podstawie orzeczenia lekarskiego wydanego w ramach badań profilaktycznych. Częstotliwość zakupu okularów wynika ze wskazań lekarskich opartych na badaniach okulistycznych w ramach profilaktycznej opieki zdrowotnej przeprowadzanych na podstawie skierowania wydanego przez pracodawcę.
Czy o zwrot za okulary mogę starać się w każdym momencie?|częstotliwość refundacja okularów|Uprawnieni pracownicy mogą ubiegać się o refundację kosztów zakupu okularów wyłącznie na podstawie orzeczenia lekarskiego wydanego w ramach badań profilaktycznych. Częstotliwość zakupu okularów wynika ze wskazań lekarskich opartych na badaniach okulistycznych w ramach profilaktycznej opieki zdrowotnej przeprowadzanych na podstawie skierowania wydanego przez pracodawcę.
Jak często mogę wnioskować o zakup okularów?|częstotliwość refundacja okularów|Uprawnieni pracownicy mogą ubiegać się o refundację kosztów zakupu okularów wyłącznie na podstawie orzeczenia lekarskiego wydanego w ramach badań profilaktycznych. Częstotliwość zakupu okularów wynika ze wskazań lekarskich opartych na badaniach okulistycznych w ramach profilaktycznej opieki zdrowotnej przeprowadzanych na podstawie skierowania wydanego przez pracodawcę.
Jak często można składać wniosek o zakup okularów?|częstotliwość refundacja okularów|Uprawnieni pracownicy mogą ubiegać się o refundację kosztów zakupu okularów wyłącznie na podstawie orzeczenia lekarskiego wydanego w ramach badań profilaktycznych. Częstotliwość zakupu okularów wynika ze wskazań lekarskich opartych na badaniach okulistycznych w ramach profilaktycznej opieki zdrowotnej przeprowadzanych na podstawie skierowania wydanego przez pracodawcę.
Co ile ubiegać się mogę o refundację okularów|częstotliwość refundacja okularów|Uprawnieni pracownicy mogą ubiegać się o refundację kosztów zakupu okularów wyłącznie na podstawie orzeczenia lekarskiego wydanego w ramach badań profilaktycznych. Częstotliwość zakupu okularów wynika ze wskazań lekarskich opartych na badaniach okulistycznych w ramach profilaktycznej opieki zdrowotnej przeprowadzanych na podstawie skierowania wydanego przez pracodawcę.
Kiedy znowu mogę ubiegać się o refundację okularów|częstotliwość refundacja okularów|Uprawnieni pracownicy mogą ubiegać się o refundację kosztów zakupu okularów wyłącznie na podstawie orzeczenia lekarskiego wydanego w ramach badań profilaktycznych. Częstotliwość zakupu okularów wynika ze wskazań lekarskich opartych na badaniach okulistycznych w ramach profilaktycznej opieki zdrowotnej przeprowadzanych na podstawie skierowania wydanego przez pracodawcę.
Kiedy znowu dostanę zwrot za zakup okularów|częstotliwość refundacja okularów|Uprawnieni pracownicy mogą ubiegać się o refundację kosztów zakupu okularów wyłącznie na podstawie orzeczenia lekarskiego wydanego w ramach badań profilaktycznych. Częstotliwość zakupu okularów wynika ze wskazań lekarskich opartych na badaniach okulistycznych w ramach profilaktycznej opieki zdrowotnej przeprowadzanych na podstawie skierowania wydanego przez pracodawcę.
Refundacja okularów, jak często|częstotliwość refundacja okularów|Uprawnieni pracownicy mogą ubiegać się o refundację kosztów zakupu okularów wyłącznie na podstawie orzeczenia lekarskiego wydanego w ramach badań profilaktycznych. Częstotliwość zakupu okularów wynika ze wskazań lekarskich opartych na badaniach okulistycznych w ramach profilaktycznej opieki zdrowotnej przeprowadzanych na podstawie skierowania wydanego przez pracodawcę.
